"You will be redirected to the payment server after completing your order.","You will be redirected to the payment server after completing your order."
"Ordering amount of %s is pending approval on gateway.","Ordering amount of %s is pending approval on gateway."
"Payment approved by the gateway. PayID: %s","Payment approved by the gateway. PayID: %s"
"Your payment has failed. Please try again or choose another payment method.","Your payment has failed. Please try again or choose another payment method."
"Your payment has failed: %s. Please try again or choose another payment method.","Your payment has failed: %s. Please try again or choose another payment method."
"Your payment has been canceled. Please try again or choose another payment method.","Your payment has been canceled. Please try again or choose another payment method."
"The payment was canceled by customer","The payment was canceled by customer"
"Customer was redirect to payment gateway. Request: %s","Customer was redirect to payment gateway. Request: %s"
"The payment has failed. PayID: %s. Error: %s","The payment has failed. PayID: %s. Error: %s"
"Customer returned from payment gateway","Customer returned from payment gateway"
"The payment has been denied. PayID: %s. Error: %s","The payment has been denied. PayID: %s. Error: %s"
"Allowed for emails only","Allowed for emails only"
"Comma Separated. Leave blank for no restriction.","Comma Separated. Leave blank for no restriction."