"You will be redirected to the payment server after completing your order.","Vous serez redirigé vers le serveur de paiement après la finalisation de votre commande."
"Ordering amount of %s is pending approval on gateway.","La capture d'un montant de %s est en attente d'approbation sur la passerelle."
"Payment approved by the gateway. PayID: %s","Paiement approuvé par la passerelle. PayID : %s."
"Your payment has failed. Please try again or choose another payment method.","Le paiement a échoué. Merci de renouveler l'opération ou de choisir une autre méthode de paiement."
"Your payment has failed: %s. Please try again or choose another payment method.","Le paiement a échoué : %s. Merci de renouveler l'opération ou de choisir une autre méthode de paiement."
"Your payment has been canceled. Please try again or choose another payment method.","Le paiement a été annulé. Merci de renouveler l'opération ou de choisir une autre méthode de paiement."
"The payment was canceled by customer","Le paiement a été annulé par le client"
"Customer was redirect to payment gateway. Request: %s","Le client a été redirigé vers la passerelle de paiement. Requête : %s"
"The payment has failed. PayID: %s. Error: %s","Le paiement a échoué. PayID : %s. Erreur : %s"
"Customer returned from payment gateway","Le client est revenu de la passerrelle de paiement"
"The payment has been denied. PayID: %s. Error: %s","Le paiement a été refusé. PayID : %s. Erreur : %s"
"Allowed for emails only","Autoriser uniquement pour les emails"
"Comma Separated. Leave blank for no restriction.","Séparés par des virgules. Laissez vide pour aucune restriction."
"Store name if empty. Set "Test:0000" for test in production.","Nom de la boutique si vide. Indiquer "Test:0000" pour une simulation en production."